date,country_iso3,country,year,week,observation_status,fires,burnt_area_ha,historical_average_fires,historical_average_burnt_area_ha,source_url
2026-06-03,UKR,Ukraine,2026,22,weekly_estimate,2,526,6.36,1597.07,https://gwis.jrc.ec.europa.eu/
2026-06-10,RUS,Russia,2026,23,weekly_estimate,178,121978,319.29,204577.64,https://gwis.jrc.ec.europa.eu/
2026-06-10,UKR,Ukraine,2026,23,weekly_estimate,9,1501,13.57,3021.86,https://gwis.jrc.ec.europa.eu/
2026-06-17,RUS,Russia,2026,24,weekly_estimate,335,293370,352.29,351425.79,https://gwis.jrc.ec.europa.eu/
2026-06-17,UKR,Ukraine,2026,24,weekly_estimate,29,6149,8.57,1907.14,https://gwis.jrc.ec.europa.eu/
2026-06-24,RUS,Russia,2026,25,weekly_estimate,332,123964,520.43,602775.36,https://gwis.jrc.ec.europa.eu/
2026-06-24,UKR,Ukraine,2026,25,weekly_estimate,52,10545,10.07,1868.29,https://gwis.jrc.ec.europa.eu/
2026-07-01,RUS,Russia,2026,26,weekly_estimate,445,174277,588.21,674170.29,https://gwis.jrc.ec.europa.eu/
2026-07-01,UKR,Ukraine,2026,26,weekly_estimate,124,31173,20.86,4525.21,https://gwis.jrc.ec.europa.eu/
2026-07-08,RUS,Russia,2026,27,weekly_estimate,383,149684,614.43,675484.29,https://gwis.jrc.ec.europa.eu/
2026-07-08,UKR,Ukraine,2026,27,weekly_estimate,117,25268,71.07,15863.57,https://gwis.jrc.ec.europa.eu/
2026-07-15,RUS,Russia,2026,28,weekly_estimate,205,51219,659.14,980352.43,https://gwis.jrc.ec.europa.eu/
2026-07-15,UKR,Ukraine,2026,28,weekly_estimate,23,4700,145.93,31929.71,https://gwis.jrc.ec.europa.eu/
2026-07-22,RUS,Russia,2026,29,weekly_estimate,410,666255,697.79,816661.21,https://gwis.jrc.ec.europa.eu/
2026-07-22,UKR,Ukraine,2026,29,weekly_estimate,98,17793,260.29,53371.71,https://gwis.jrc.ec.europa.eu/
2026-07-29,RUS,Russia,2026,30,weekly_estimate,412,432504,813.71,821880.36,https://gwis.jrc.ec.europa.eu/
2026-07-29,UKR,Ukraine,2026,30,weekly_estimate,43,8673,333.57,68406.5,https://gwis.jrc.ec.europa.eu/
2026-08-05,RUS,Russia,2026,31,weekly_estimate,1100,1092371,850.93,603148.21,https://gwis.jrc.ec.europa.eu/
2026-08-05,UKR,Ukraine,2026,31,weekly_estimate,192,37647,367.64,76489.21,https://gwis.jrc.ec.europa.eu/
2026-08-12,RUS,Russia,2026,32,weekly_estimate,720,423723,817.64,388792.5,https://gwis.jrc.ec.europa.eu/
2026-08-12,UKR,Ukraine,2026,32,weekly_estimate,274,52136,364.36,72824.36,https://gwis.jrc.ec.europa.eu/
2026-08-19,RUS,Russia,2026,33,weekly_estimate,696,859872,647.29,282414.93,https://gwis.jrc.ec.europa.eu/
2026-08-19,UKR,Ukraine,2026,33,weekly_estimate,340,68966,225.71,46865.71,https://gwis.jrc.ec.europa.eu/
2026-08-26,RUS,Russia,2026,34,weekly_estimate,970,805525,513.36,184965.64,https://gwis.jrc.ec.europa.eu/
2026-08-26,UKR,Ukraine,2026,34,weekly_estimate,401,85074,177,36437.86,https://gwis.jrc.ec.europa.eu/
2026-09-02,RUS,Russia,2026,35,weekly_estimate,601,207598,453.64,141866.57,https://gwis.jrc.ec.europa.eu/
2026-09-02,UKR,Ukraine,2026,35,weekly_estimate,199,37675,159.93,34420,https://gwis.jrc.ec.europa.eu/
