year,country_iso3,indicator,value,unit,time_basis,observation_status,missing_reason,rank,lower_90,upper_90,birth_rate,death_rate,source_url,source_updated_at,source_response_sha256,input_generated_at
2015,RUS,natural-change,0.3000000000000007,per1k,reference_year,derived_estimate,,,,,13.3,13,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2015,UKR,natural-change,-3.213000000000001,per1k,reference_year,derived_estimate,,,,,9.802,13.015,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2016,RUS,natural-change,0,per1k,reference_year,derived_estimate,,,,,12.9,12.9,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2016,UKR,natural-change,-2.9749999999999996,per1k,reference_year,derived_estimate,,,,,9.614,12.589,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2017,RUS,natural-change,-0.9000000000000004,per1k,reference_year,derived_estimate,,,,,11.5,12.4,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2017,UKR,natural-change,-3.4860000000000007,per1k,reference_year,derived_estimate,,,,,8.779,12.265,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2018,RUS,natural-change,-1.5999999999999996,per1k,reference_year,derived_estimate,,,,,10.9,12.5,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2018,UKR,natural-change,-5.032,per1k,reference_year,derived_estimate,,,,,8.125,13.157,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2019,RUS,natural-change,-2.200000000000001,per1k,reference_year,derived_estimate,,,,,10.1,12.3,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2019,UKR,natural-change,-5.256,per1k,reference_year,derived_estimate,,,,,7.823,13.079,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2020,RUS,natural-change,-4.799999999999999,per1k,reference_year,derived_estimate,,,,,9.8,14.6,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2020,UKR,natural-change,-6.883000000000001,per1k,reference_year,derived_estimate,,,,,7.555,14.438,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2021,RUS,natural-change,-7.1,per1k,reference_year,derived_estimate,,,,,9.6,16.7,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2021,UKR,natural-change,-10.157,per1k,reference_year,derived_estimate,,,,,6.977,17.134,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2022,RUS,natural-change,-4,per1k,reference_year,derived_estimate,,,,,8.9,12.9,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2022,UKR,natural-change,-8.509,per1k,reference_year,derived_estimate,,,,,5.679,14.188,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2023,RUS,natural-change,-3.5,per1k,reference_year,derived_estimate,,,,,8.6,12.1,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2023,UKR,natural-change,-7.505000000000001,per1k,reference_year,derived_estimate,,,,,5.625,13.13,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2024,RUS,natural-change,-4,per1k,reference_year,derived_estimate,,,,,8.4,12.4,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2024,UKR,natural-change,-8.137,per1k,reference_year,derived_estimate,,,,,5.466,13.603,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
