year,country_iso3,indicator,value,unit,time_basis,observation_status,missing_reason,rank,lower_90,upper_90,birth_rate,death_rate,source_url,source_updated_at,source_response_sha256,input_generated_at
2006,RUS,rule-of-law,40.7238474,score,reference_year,estimate,,,35.937556,45.5101388,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2006,UKR,rule-of-law,44.8200017,score,reference_year,estimate,,,39.6696815,49.9703219,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2007,RUS,rule-of-law,41.2345286,score,reference_year,estimate,,,36.4482371,46.02082,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2007,UKR,rule-of-law,45.7067178,score,reference_year,estimate,,,40.9204263,50.4930092,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2008,RUS,rule-of-law,40.1764558,score,reference_year,estimate,,,35.3901644,44.9627473,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2008,UKR,rule-of-law,45.8654383,score,reference_year,estimate,,,41.0791469,50.6517297,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2009,RUS,rule-of-law,40.2130923,score,reference_year,estimate,,,35.4268008,44.9993837,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2009,UKR,rule-of-law,44.7849246,score,reference_year,estimate,,,39.9986331,49.571216,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2010,RUS,rule-of-law,40.9579027,score,reference_year,estimate,,,36.1716112,45.7441941,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2010,UKR,rule-of-law,43.0463578,score,reference_year,estimate,,,38.2600664,47.8326492,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2011,RUS,rule-of-law,45.1689676,score,reference_year,estimate,,,41.1744907,49.1634445,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2011,UKR,rule-of-law,43.7747664,score,reference_year,estimate,,,39.7802895,47.7692433,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2012,RUS,rule-of-law,40.3548465,score,reference_year,estimate,,,36.3603696,44.3493234,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2012,UKR,rule-of-law,45.3646396,score,reference_year,estimate,,,41.3701627,49.3591164,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2013,RUS,rule-of-law,41.2144368,score,reference_year,estimate,,,37.1510517,45.2778219,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2013,UKR,rule-of-law,44.5635037,score,reference_year,estimate,,,40.5001186,48.6268888,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2014,RUS,rule-of-law,42.2901522,score,reference_year,estimate,,,38.2267671,46.3535373,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2014,UKR,rule-of-law,44.477507,score,reference_year,estimate,,,40.4141219,48.5408921,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2015,RUS,rule-of-law,41.3230363,score,reference_year,estimate,,,37.2596512,45.3864214,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2015,UKR,rule-of-law,44.9183282,score,reference_year,estimate,,,40.8549431,48.9817132,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2016,RUS,rule-of-law,42.0417656,score,reference_year,estimate,,,37.9783805,46.1051507,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2016,UKR,rule-of-law,45.858721,score,reference_year,estimate,,,41.7953359,49.9221061,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2017,RUS,rule-of-law,42.5565429,score,reference_year,estimate,,,38.4931578,46.619928,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2017,UKR,rule-of-law,47.0488308,score,reference_year,estimate,,,42.9854457,51.1122159,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2018,RUS,rule-of-law,42.637509,score,reference_year,estimate,,,38.5173991,46.7576188,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2018,UKR,rule-of-law,48.078709,score,reference_year,estimate,,,43.9585991,52.1988188,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2019,RUS,rule-of-law,42.0461647,score,reference_year,estimate,,,37.9260548,46.1662745,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2019,UKR,rule-of-law,46.8865907,score,reference_year,estimate,,,42.7664808,51.0067005,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2020,RUS,rule-of-law,42.7588393,score,reference_year,estimate,,,38.4274697,47.0902088,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2020,UKR,rule-of-law,47.206011,score,reference_year,estimate,,,42.8746415,51.5373805,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2021,RUS,rule-of-law,41.4273487,score,reference_year,estimate,,,37.0959792,45.7587182,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2021,UKR,rule-of-law,47.1793877,score,reference_year,estimate,,,42.8480182,51.5107573,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2022,RUS,rule-of-law,38.8098571,score,reference_year,estimate,,,34.5561337,43.0635806,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2022,UKR,rule-of-law,44.1890986,score,reference_year,estimate,,,39.9353752,48.442822,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2023,RUS,rule-of-law,38.4906606,score,reference_year,estimate,,,34.2369371,42.744384,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2023,UKR,rule-of-law,44.1357592,score,reference_year,estimate,,,39.8820358,48.3894826,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2024,RUS,rule-of-law,37.0602119,score,reference_year,estimate,,,32.8064885,41.3139353,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2024,UKR,rule-of-law,44.5695791,score,reference_year,estimate,,,40.3158556,48.8233025,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
